Date,Category,Description,Dialogue,Place
2017/01/31,つきまとい,「姉ちゃん待って、おれが連れて帰ってやる」,自転車に乗って女子高校生に声をかけ、つきまとった。,大分県佐伯市弥生
2017/01/31,つきまとい,「お年玉あげる」,児童に声をかけ、しつこくつきまとった。,沖縄県那覇市久茂地
2017/01/31,声かけ,「お姉さんかわいいね」,自転車に乗った女子生徒に軽トラックの中から声をかけた。,岡山県岡山市北区大井
2017/01/31,声かけ,「おいしいお菓子を買ってあげるよ」,下校途中の男児に声をかけた。,広島県広島市安佐南区緑井
2017/01/31,声かけ,「乗せていってあげようか」,登校途中の女児に車の中から声をかけた。,広島県広島市南区向洋新町
2017/01/31,つきまとい,「写真を撮らせてほしい」,男児２人に約５００メートルにわたってつきまとった。,愛媛県松山市浄瑠璃町
2017/01/31,撮影,「写真を撮らせてほしい」,遊んでいた男児３人に声をかけ、後ろから写真を撮った。,愛媛県今治市天保山町
2017/01/31,声かけ,「車に乗っていきなさい」,車に乗って男児に声をかけた。,北海道根室市花園町
2017/01/31,声かけ,「かわいいね」「こっちにおいで」,自転車で女児を追い越す際に声をかけた。,愛媛県新居浜市庄内町
2017/01/31,声かけ,「おっぱい」,車を運転しながら女子生徒に声をかけた。,宮城県仙台市泉区泉中央
2017/01/31,声かけ,「ランドセルをここに下ろして遊びや、カバン置いて遊びにおいで」,小学生４人に声をかけた。,京都府宇治市槙島町
2017/01/31,声かけ,「足の写真を撮らせてほしい」,女性に声をかけた。,福岡県北九州市小倉南区下曽根新町
2017/01/31,声かけ,「アメあげるから車に乗りな」,車の中から女児に声をかけ、腕を引っ張った。,北海道音更町南鈴蘭北
2017/01/31,声かけ,「ちょっとだけ話できひん」,自転車に乗って女子生徒に声をかけた。,兵庫県尼崎市若王寺
2017/01/28,声かけ,「家はどこですか？送りますよ」,１０代女性に声をかけた。,広島県広島市南区皆実町
2017/01/28,声かけ,「何か食べに行こう」,１０代女性に声をかけた。,広島県広島市南区翠
2017/01/28,声かけ,「欲しいものあるか」,車に乗って女児に声をかけた。,山梨県都留市小形山
2017/01/28,声かけ,「２万円ちょっとのアルバイトをしないか」,女子生徒に声をかけた。,高知県四万十市具同
2017/01/27,声かけ,「ねーちゃん、今ひま？」,女性に声をかけた。,埼玉県富士見市鶴馬
2017/01/27,声かけ,「どこの学校？」,男児に声をかけた。,埼玉県富士見市ふじみ野西
2017/01/27,声かけ,「道を教えて」,車に乗って女子生徒に声をかけた。,千葉県四街道市大日
2017/01/27,声かけ,「こんにちは、天気がいいですね」,男子児童に声をかけた。,東京都杉並区大宮
2017/01/27,つきまとい,「アメ玉あげる」,車を降り、男児に声をかけて追いかけた。,神奈川県横浜市都筑区見花山
2017/01/27,声かけ,「お小遣いあげるから、ちょっと乗ってよ」,車の中から女子生徒に何度も声をかけた。,兵庫県姫路市東延末
2017/01/26,声かけ,「オラ」,男児の前に立ち塞がるようにして声をかけた。,兵庫県神戸市中央区布引町
2017/01/26,声かけ,「こっちへおいで」,携帯電話で女児を撮影し、声をかけて手招きした。,兵庫県神戸市北区上津台
2017/01/26,声かけ,「元気？玄関開けて」,家を出た女児に声をかけた。,京都府城陽市寺田
2017/01/26,声かけ,「学校どこ？」,女児に声をかけた。,大阪府和泉市王子町
2017/01/26,暴言,「なめとんのかこら」,女子生徒４人に怒鳴った。,愛知県名古屋市中村区岩塚町
2017/01/26,声かけ,「一緒にいかない？」,女児２人に声をかけた。,北海道小樽市稲穂
2017/01/26,撮影,「歩いているところを撮っていい？」「雪の上を歩いてみて」,女児らに声をかけ、撮影した。,長野県安曇野市穂高
2017/01/26,声かけ,「口を開けて」,学生に声をかけた。,愛知県蟹江町宝
2017/01/26,声かけ,「口を開けて」,学生に声をかけた。,愛知県蟹江町宝
2017/01/26,声かけ,「ぼくかわいいね」「このサングラスあげる」「不審者じゃないよ」,男児に声をかけた。,東京都葛飾区奥戸
2017/01/26,声かけ,「こんにちは」,女子生徒に声をかけ、手を掴んだ。,茨城県取手市谷中
2017/01/26,声かけ,「おい、俺は宇宙人だ」,女児に声をかけた。１月２３日、２４日にも、同じ男性が目撃されている。,東京都三鷹市牟礼
2017/01/26,声かけ,「かわいいね」,１０代女性に声をかけた。,愛媛県松山市湊町
2017/01/25,声かけ,「高校生ですか？友達になってください」,女子生徒に声をかけた。,静岡県沼津市中瀬町
2017/01/25,声かけ,「大和田駅までの道を教えて」,女子生徒にしつこく声をかけた。,大阪府門真市大池町
2017/01/25,声かけ,「部活は何部なの」,女子生徒数人に声をかけ、怒鳴った。,栃木県那須烏山市中央
2017/01/25,声かけ,「僕のうちどこ？送ってあげるよ」,車の中から男児に声をかけた。,富山県射水市小島
2017/01/25,声かけ,「家はどこなの？」,女性に声をかけた。,埼玉県川口市西青木
2017/01/25,つきまとい,「どこの学校？」,男子生徒に声をかけ、つきまとった。,埼玉県川口市三ツ和
2017/01/25,卑わいな声かけ,「パンツかわいかったね」「足きれいだね」「もう一回お願いします」,女子生徒に卑わいなことを言った。,東京都町田市山崎
2017/01/25,声かけ,「お父さんはこっちだよ」,男児２人に声をかけた。,大分県別府市鶴見
2017/01/25,声かけ,「姉ちゃん４万円あるか」,女子生徒に声をかけた。,宮城県美里町牛飼
2017/01/25,つきまとい,,児童の後をつけた。,栃木県宇都宮市氷室町
2017/01/25,声かけ,「ワタシタチトモダチ」,片言の日本語で女子高校生に声をかけ、手を握ったりした。,高知県高知市追手筋
2017/01/25,痴漢,「すみません、名前を教えてくれませんか」,自転車を押しながら女子高校生に声をかけ、体を触った。,福岡県北九州市八幡西区熊手
2017/01/25,声かけ,「お姉さん」,女子生徒に声をかけた。,東京都荒川区南千住
2017/01/24,声かけ,「お嬢ちゃん」,女子生徒の肩を叩き、声をかけた。,大阪府八尾市東久宝寺
2017/01/24,声かけ,「ちょっとちょっと」「小学校はどこ？」「今送ってあげるよ」,女児に声をかけた。,東京都渋谷区代官山町
2017/01/24,声かけ,「日曜にトランプしない？」,女児に声をかけた。,東京都調布市深大寺東町
2017/01/24,声かけ,「ちょっと、ちょっと」,男児に声をかけた。,千葉県船橋市二和東
2017/01/24,声かけ,「お菓子食べなよ」,スクーターに乗って男児に声をかけた。,和歌山県有田市宮原町
2017/01/24,声かけ,「お家どこ？送ってあげるよ」,女子生徒に後ろから近づき声をかけた。,北海道旭川市*神居地区
2017/01/24,声かけ,「車に乗っていけへん」,車に乗って女児に声をかけた。,大阪府大阪市都島区高倉町
2017/01/24,声かけ,「やかましい」「危ない」,２列並んで歌いながら歩いていた男女児童４人に怒鳴った。,奈良県奈良市西大寺北町
2017/01/24,声かけ,「何年生？」,車に乗って女児に声をかけた。,長野県小諸市柏木
2017/01/24,声かけ,「駅伝が来るから一緒に行こうや」,男児らに声をかけた。,広島県広島市西区井口
2017/01/24,声かけ,「名前と住所は？」,男児に声をかけた。,広島県広島市佐伯区藤の木
2017/01/24,つきまとい,「車に乗らないか」,車から男児に声をかけた後、車を降りて男児を追いかけた。,神奈川県川崎市川崎区殿町
2017/01/24,卑わいな電話,「部屋の中を盗撮されているのに気が付きましたか？」,卑わいな質問をする電話が架かってきた。,埼玉県鴻巣市
2017/01/24,声かけ,「公園で話をしよう」,女子生徒に声をかけた。,埼玉県川口市久左衛門新田
2017/01/24,声かけ,「今帰り？送って行こうか？」,女子生徒に声をかけた。,埼玉県さいたま市緑区道祖土
2017/01/24,声かけ,「君何中？」「何年？」「名前は？」,女子生徒に声をかけた。,北海道室蘭市高砂町
2017/01/24,声かけ,「お酒を買ってきて」,女児に声をかけたが、その後特定され警察から警告を受けた。,宮城県仙台市若林区大和町
2017/01/24,声かけ,「可愛いね」,旭町公園近くで女子生徒２人に声をかけ、ジュースを渡した。,高知県香美市土佐山田町旭町
2017/01/24,つきまとい,「何しよん」,女子学生に声をかけ、車でつきまとった。,福岡県嘉麻市岩崎
2017/01/24,声かけ,「一緒に話せてうれしい」,女子生徒にしつこく声をかけた。,広島県広島市南区松原町
2017/01/24,声かけ,「こっちおいで、家に来て遊ぼう」,,埼玉県草加市谷塚
2017/01/24,卑わいな声かけ,「お金を払うんで、見てくれませんか？」,女性に声をかけた。,東京都荒川区荒川
2017/01/23,声かけ,「学校の帰り？」,女児に声をかけた。,東京都港区赤坂
2017/01/23,声かけ,「家は近くなの？」「服はどこで買ってるの？」,女児に声をかけた。,鹿児島県鹿児島市本名町
2017/01/23,声かけ,「何でストッキングはいてるの」「何でストッキングはかないの」,女子生徒に声をかけた。,宮城県仙台市泉区虹の丘
2017/01/23,声かけ,「万引きしただろ、警察に通報するから乗れ」,店舗を出てきた女子生徒に声をかけた。,宮城県仙台市青葉区吉成
2017/01/23,下半身露出,「ティッシュ持ってない？」,女子生徒に声をかけて下半身を見せた。,愛知県名古屋市瑞穂区初日町
2017/01/23,声かけ,「チョコレートをあげる」,男児に声をかけた。,東京都目黒区上目黒
2017/01/20,下半身露出,「見て見て」,女性に声をかけて下半身を見せた。,大阪府泉佐野市日根野
2017/01/20,声かけ,「雑誌の特集で写真を撮らせてほしい」,,京都府京丹波町中台
2017/01/20,声かけ,「口笛を吹いているの？」「日本語分かる」,男性２人組が男児に声をかけ、男児の妹の腕をつかもうとした。,東京都中野区中野
2017/01/20,痴漢,「危ないよ」「避けて」,女子児童の体を触った。,東京都江戸川区平井
2017/01/20,声かけ,「何かして」,女子生徒に声をかけて呼び止めた。,兵庫県高砂市米田町古新
2017/01/20,声かけ,「ここで用を足すから隠してくれないか？」,女子生徒に声をかけ、多数の質問をした。,千葉県我孫子市湖北台
2017/01/20,声かけ,「遊ぼうよ」,女子小学生に声をかけた。,鹿児島県鹿児島市星ケ峯
2017/01/20,痴漢,「前から気になっていたんだよね、携帯番号教えて」,女性に声をかけ、足を触った。,島根県松江市朝日町
2017/01/20,声かけ,「一緒に話そうや」,女子生徒に複数回にわたって声をかけた。,大阪府大阪市東淀川区豊里
2017/01/20,声かけ,「君、遊ぼう」,男子児童に声をかけた。,兵庫県相生市那波
2017/01/20,声かけ,「お菓子食べる？」,幼児に声をかけた。,沖縄県那覇市
2017/01/19,声かけ,「かわいいね、小学校どこ？小学校の道教えて」,女児に声をかけた。,愛知県名古屋市中川区小碓通
2017/01/19,暴行,「自転車に乗ったまま歩道通るな」,カバンで児童の顔を叩いた。,兵庫県伊丹市梅ノ木
2017/01/19,つきまとい,「どこ行くの」,女子生徒に声をかけ、つきまとった。,大阪府大阪市東淀川区豊里
2017/01/19,声かけ,「君、背が高いね」「スポーツやってるの？」「スカウトしようか？」,,東京都渋谷区千駄ケ谷
2017/01/19,声かけ,「（携帯電話を指して）それ何？ちょっと貸して」,女児に声をかけた。,東京都三鷹市下連雀
2017/01/19,下半身露出,「瑞穂区役所はどこですか」,女性に声をかけて下半身を出した。,愛知県名古屋市瑞穂区十六町
2017/01/19,声かけ,「君のバッグかわいいね」,帰宅途中の女子中学生に声をかけた。,栃木県栃木市都賀町家中
2017/01/19,声かけ,「ちょっとそこの僕、お金ちょうだい」,男児に声をかけた。,奈良県香芝市狐井
2017/01/19,暴行,「お前、誰に口聞いてんねん」,遊んでいた男児の胸ぐらをつかみ突き飛ばした。,奈良県香芝市北今市
2017/01/19,盗撮,「家はどこだ」,女児の写真を撮り、声をかけた。,静岡県静岡市駿河区中原
2017/01/19,つきまとい,「こら待て」,男児を追いかけた。,静岡県掛川市本郷
2017/01/19,痴漢,「高校どこですか？一緒やったっけ」,女性に声をかけて抱きついた。,大阪府岸和田市上野町東
2017/01/18,声かけ,「水ください」,女性に声をかけた。,大阪府吹田市南金田
2017/01/18,声かけ,「可愛いね」「時間ある？」,通行中の女子生徒に声をかけた。,東京都八王子市明神町
2017/01/18,声かけ,「どこの学校？何年生？何歳？」,男児の頭に手を乗せて声をかけた。,大阪府守口市大枝西町
2017/01/18,声かけ,「見てくれませんか」,女性に声をかけた。,東京都中野区松が丘
2017/01/18,声かけ,「どっか暇つぶせる所ない？」「案内してよ」,,北海道千歳市花園
2017/01/18,声かけ,「乗っていく？」,,埼玉県和光市本町
2017/01/17,卑わいな声かけ,「お金１０００円あげるから体を触らせろ」,,東京都中野区上高田
2017/01/17,声かけ,「ださい高校やな、ださい制服」,,兵庫県神戸市中央区相生町
2017/01/17,声かけ,「お前どこに行くんだ？」,,東京都武蔵野市中町
2017/01/17,声かけ,「小学生なのに背が大きいね」,,兵庫県宝塚市亀井町
2017/01/17,声かけ,「何年生、名前は」「名前を教えないなら連れて行くよ」「おばあちゃんの友達なんだけど、おばあちゃんと一緒に買い物をしてたら、スーパーでおばあちゃんが倒れたから一緒にお見舞いに行こう」,声をかけて女児に腕をつかもうとする。,青森県青森市北金沢
2017/01/17,声かけ,「○○ってどこかわかる？一緒に車に乗って案内してくれない？」,車の中から成人女性に声かけ。,兵庫県明石市魚住町西岡
2017/01/17,声かけ,「送っていこうか？ドライブに行こうか？」,声をかけてつきまとう。,島根県出雲市長浜町
